Group,Image1,Image2,Image3,Image4,AudioFile,Adjective,TargetLocation,Label,AdjTime,NounTime,NPTime,AudioDur
B,thinruler.png,hourglass.png,pear.png,thinarrow.png,thinruler.mp3,thin,1,critical no contrast,967,1377,967,1967
B,barn.png,shortbeer.png,shorttable.png,passport.png,shortbeer.mp3,short,2,critical no contrast,908,1671,908,2090
B,lock.png,shortladder.png,shortjar.png,talljar.png,shortjar.mp3,short,3,critical with contrast,970,1671,970,2203
B,bigburger.png,mittens.png,smallbowl.png,bigbowl.png,bigbowl.mp3,big,4,critical with contrast,1077,1455,1077,1998
B,bigpotato.png,smallpotato.png,tissues.png,bigtruck.png,bigpotato.mp3,big,1,critical with contrast,940,1352,940,1993
B,smallhouse.png,bighouse.png,bigmountain.png,umbrella.png,bighouse.mp3,big,2,critical with contrast,1019,1359,1019,2030
B,earmuffs.png,bigtomato.png,bigcanoe.png,fireplace.png,bigcanoe.mp3,big,3,critical no contrast,943,1321,943,1785
B,bigclothespin.png,cheesegrater.png,dustpan.png,biglightbulb.png,biglightbulb.mp3,big,4,critical no contrast,1048,1464,1048,2239
B,smallcrab.png,bigcrab.png,backpack.png,smallskateboard.png,smallcrab.mp3,small,1,critical with contrast,1037,1777,1037,2358
B,bigrazor.png,smallrazor.png,smallwhisk.png,cd.png,smallrazor.mp3,small,2,critical with contrast,948,1534,948,2225
B,fence.png,smallbird.png,smallkey.png,binoculars.png,smallkey.mp3,small,3,critical no contrast,1030,1790,1030,2194
B,smallclipboard.png,easel.png,bigspider.png,smallspider.png,smallspider.mp3,small,4,critical with contrast,888,1537,888,2177
B,smalldesk.png,flipflops.png,caterpillar.png,smalleraser.png,smalldesk.mp3,small,1,critical no contrast,1081,1766,1081,1590
B,rock.png,smalltrophy.png,smallpinwheel.png,grapes.png,smalltrophy.mp3,small,2,critical no contrast,897,1574,897,2180
B,avocado.png,thickbook.png,thickpaintbrush.png,thinpaintbrush.png,thickpaintbrush.mp3,thick,3,critical with contrast,871,1480,871,2282
B,thickeyebrows.png,fan.png,onion.png,thickburrito.png,thickburrito.mp3,thick,4,critical no contrast,1011,1635,1011,2229
B,thickmustache.png,bowlingball.png,xylophone.png,thicktire.png,thickmustache.mp3,thick,1,critical no contrast,924,1413,924,2325
B,shortflamingo.png,tallflamingo.png,tallhat.png,domino.png,tallflamingo.mp3,tall,2,critical with contrast,930,1343,930,2101
B,crayon.png,tallman.png,tallstool.png,shirt.png,tallstool.mp3,tall,3,critical no contrast,940,1458,940,2017
B,tallgiraffe.png,pretzel.png,shortlamp.png,talllamp.png,talllamp.mp3,tall,4,critical with contrast,1042,1597,1042,2350
B,blanket.png,measuringcup.png,longpants.png,shortpants.png,thickblanket.mp3,thick,1,contrast filler,949,1451,949,2005
B,creditcard.png,wagon.png,smalltooth.png,bigtooth.png,smallwagon.mp3,small,2,contrast filler,902,1539,902,2061
B,shortscrew.png,longscrew.png,kiwi.png,sloth.png,smallkiwi.mp3,small,3,contrast filler,870,1499,870,1968
B,tallwineglass.png,shortwineglass.png,controller.png,calendar.png,bigcalendar.mp3,big,4,contrast filler,1002,1410,1002,2010
B,toaster.png,pot.png,shortcorn.png,longcorn.png,smalltoaster.mp3,small,1,contrast filler,839,1448,839,2089
B,deodorant.png,salad.png,tallspeaker.png,shortspeaker.png,smallsalad.mp3,small,2,contrast filler,870,1393,870,1929
B,widebush.png,narrowbush.png,rooster.png,popsicle.png,tallrooster.mp3,tall,3,contrast filler,949,1419,949,2042
B,bigbeehive.png,smallbeehive.png,calculator.png,icecube.png,smallicecube.mp3,small,4,contrast filler,873,1499,873,2059
B,remote.png,acorn.png,thickrollingpin.png,thinrollingpin.png,smallremote.mp3,small,1,contrast filler,795,1317,795,1875
B,snowglobe.png,icecream.png,bigfrog.png,smallfrog.png,tallicecream.mp3,tall,2,contrast filler,933,1498,933,2238
B,fatpickle.png,skinnypickle.png,hook.png,goggles.png,thinhook.mp3,thin,3,contrast filler,927,1445,927,1859
B,shortgiftbag.png,tallgiftbag.png,taco.png,soap.png,thicksoap.mp3,thick,4,contrast filler,944,1446,944,1921
B,rattle.png,tongs.png,thinsausage.png,thicksausage.png,skinnyrattle.mp3,skinny,1,contrast filler,854,1438,854,1973
B,dragon.png,charger.png,bigcake.png,smallcake.png,longcharger.mp3,long,2,contrast filler,1102,1782,1102,2456
B,fatrug.png,skinnyrug.png,safe.png,violin.png,bigsafe.mp3,big,3,contrast filler,1124,1619,1124,2040
B,thickspoon.png,thinspoon.png,train.png,magnifyingglass.png,bigmagnifyingglass.mp3,big,4,contrast filler,1195,1697,1195,3034
B,surfboard.png,laptop.png,fatcomb.png,skinnycomb.png,longsurfboard.mp3,long,1,contrast filler,1067,1662,1067,2466
B,pacifier.png,handcuffs.png,smalldiamond.png,bigdiamond.png,thickhandcuffs.mp3,thick,2,contrast filler,1056,1655,1056,2554
B,shortdumbbell.png,longdumbbell.png,kettle.png,hanger.png,fatkettle.mp3,fat,3,contrast filler,895,1430,895,1782
B,smallbubble.png,bigbubble.png,coconut.png,treasurechest.png,widetreasurechest.mp3,wide,4,contrast filler,980,1530,980,2407
B,golfclub.png,microscope.png,dragonfly.png,steeringwheel.png,thingolfclub.mp3,thin,1,filler,881,1460,881,2119
B,piano.png,pen.png,lobster.png,bus.png,shortpen.mp3,short,2,filler,817,1392,817,1825
B,ant.png,purse.png,stroller.png,sailboat.png,tallstroller.mp3,tall,3,filler,924,1386,924,2044
B,elephant.png,eggplant.png,drum.png,mailbox.png,tallmailbox.mp3,tall,4,filler,1006,1500,1006,2383
B,heart.png,carseat.png,chick.png,shoppingcart.png,wideheart.mp3,wide,1,filler,1060,1579,1060,2038
B,accordion.png,cherry.png,basketball.png,sock.png,wideaccordion.mp3,wide,2,filler,900,1466,900,2041
B,pencilsharpener.png,gears.png,harp.png,policeman.png,smallharp.mp3,small,3,filler,980,1558,980,2056
B,football.png,seahorse.png,helicopter.png,mushroom.png,shortmushroom.mp3,short,4,filler,970,1489,970,2407
B,penguin.png,helmet.png,grenade.png,hotdog.png,tallpenguin.mp3,tall,1,filler,1065,1501,1065,2249
B,grapefruit.png,ghost.png,wine.png,bell.png,bigghost.mp3,big,2,filler,1111,1641,1111,2015
B,motorcycle.png,folder.png,glove.png,pineapple.png,smallglove.mp3,small,3,filler,919,1673,919,2015
B,carrot.png,leaf.png,map.png,jumprope.png,longjumprope.mp3,long,4,filler,1058,1714,1058,2429
B,plane.png,unicorn.png,soccerball.png,lipstick.png,smallplane.mp3,small,1,filler,1057,1915,1057,2442
B,firefighter.png,ticket.png,sushi.png,lollipop.png,smallticket.mp3,small,2,filler,1001,1614,1001,2059
B,box.png,popcorn.png,knight.png,skirt.png,shortknight.mp3,short,3,filler,888,1539,888,2006
B,bow.png,turtle.png,baseball.png,pumpkin.png,widepumpkin.mp3,wide,4,filler,952,1496,952,2006
B,saw.png,egg.png,pie.png,moose.png,longsaw.mp3,long,1,filler,934,1383,934,1834
B,grasshopper.png,log.png,medal.png,axe.png,thicklog.mp3,thick,2,filler,1027,1604,1027,2251
B,horseshoe.png,lemon.png,penny.png,firetruck.png,smallpenny.mp3,small,3,filler,831,1491,831,1888
B,planet.png,necklace.png,cactus.png,couch.png,widecouch.mp3,wide,4,filler,955,1581,955,2177
B,mattress.png,sandwich.png,thread.png,plate.png,thickmattress.mp3,thick,1,filler,969,1457,969,2170
B,cow.png,skull.png,doorknob.png,butter.png,bigskull.mp3,big,2,filler,1132,1551,1132,2141
B,moon.png,apron.png,castle.png,spatula.png,tallcastle.mp3,tall,3,filler,1059,1651,1059,2217
B,baby.png,magnet.png,ambulance.png,sweater.png,thicksweater.mp3,thick,4,filler,920,1495,920,2066
B,ballerina.png,watch.png,yogurt.png,dolphin.png,skinnyballerina.mp3,skinny,1,filler,993,1743,993,2410
B,soup.png,vacuum.png,cage.png,glue.png,skinnyvacuum.mp3,skinny,2,filler,935,1555,935,2180
